name;operator;network;wheelchair;geom
Huusbarg (Mitte);;;;0101000020E61000006B03C12D695A24408144132862D24A40
Huusbarg (West);;;;0101000020E6100000492D3993DB572440E15E3EFE77D24A40
Alter Zollweg;;;;0101000020E6100000A4E9471EE345244055BBCBEAC2CD4A40
Neusurenland;;;;0101000020E61000002695849F93392440532BA798DECE4A40
Neusurenland;;;;0101000020E6100000AA3AF592103A244087F3BA8FEDCE4A40
Pflegezentrum Farmsen;;;;0101000020E6100000DF0CED52D93A2440F164DC7987CE4A40
Pflegezentrum Farmsen;;;;0101000020E610000048ED3488C53A2440BA20110995CE4A40
Rahlstedter Weg (Mitte);;;;0101000020E61000007677F8C66B412440A9797D9C1FCD4A40
Rahlstedter Weg (Mitte);;;;0101000020E610000063C6CA1E57412440D9F225AF29CD4A40
Saseler Bogen;;;;0101000020E6100000785CF9D1154124407478AD2935D24A40
Saseler Bogen;;;;0101000020E610000009201043064124407386E28E37D24A40
Timmendorfer Straße;;;;0101000020E6100000F63D8FF6E44224409074BCB843CD4A40
Alter Zollweg;;;;0101000020E61000006233C005D946244047072461DFCD4A40
U Berne;;HVV;;0101000020E6100000E2C56757C6472440DEE8633E20D04A40
U Berne;;;;0101000020E61000006DC60ECFB7462440076B52C02CD04A40
U Berne;;HVV;;0101000020E61000008DFADAE9BD47244030B9F6AA3AD04A40
U Berne;;;;0101000020E6100000EE597CAFC6462440EF1120F939D04A40
Haffkruger Weg;;;;0101000020E61000007B281B20E24C2440B2F7E28BF6CD4A40
Hohenkamp;;;;0101000020E6100000FB6A589DE64A2440FFF96CD38ECD4A40
Kohövedstraße;;;;0101000020E61000007F1F69CB144A24403122F6AEE6CD4A40
Kohövedstraße;;;;0101000020E6100000043A387DE249244058A3682FECCD4A40
Beim Farenland;;;;0101000020E610000066E6B809AD4524403EF5A33C4ED14A40
Beim Farenland;;;;0101000020E6100000A039EB538E452440B9CBD9965CD14A40
Berner Heerweg;;;;0101000020E61000000D46DBE7E7402440DC3B592030CF4A40
Berner Heerweg;;;;0101000020E61000009AEBD918E03F2440F243A51133CF4A40
Berufsförderungswerk Hamburg;;;;0101000020E6100000E2E423CE2F3B2440DD67F05245CE4A40
